"UTC,""Depth..m."",""mid_latitude"",""mid_longitude"""
150231,6.67,52.342268225,12.99835848
150232,6.67,52.34226871,12.998358765
150233,6.66,52.34226924,12.998359055
150234,6.67,52.34226978,12.99835931
150235,6.66,52.342270315,12.998359545
150236,6.66,52.34227085,12.99835978
150237,6.65,52.342271385,12.998359995
150238,6.65,52.34227194,12.998360175
150239,6.65,52.34227249,12.99836034
150240,6.66,52.342273035,12.998360475
150241,6.64,52.342273575,12.99836058
150242,6.65,52.342274135,12.99836069
150243,6.64,52.3422747,12.99836079
150244,6.64,52.34227525,12.99836088
150245,6.63,52.342275805,12.998360975
150246,6.63,52.342276355,12.99836105
150247,6.63,52.34227691,12.998361125
150248,6.62,52.342277475,12.99836119
150249,6.63,52.34227805,12.998361255
150250,6.62,52.342278645,12.99836132
150251,6.62,52.34227924,12.99836136
150252,6.61,52.342279835,12.99836139
150253,6.6,52.34228047,12.99836145
150254,6.59,52.34228112,12.99836151
150255,6.58,52.342281815,12.998361605
150256,6.57,52.342282515,12.99836166
150257,6.57,52.34228325,12.9983617
150340,6.3,52.34231821,12.99836786
150341,6.29,52.342318935,12.998368165
150342,6.29,52.34231967,12.99836846
150343,6.28,52.34232036,12.99836877
150344,6.27,52.342321075,12.998369135
150345,6.26,52.342321785,12.99836954
150346,6.24,52.342322435,12.99836994
150347,6.22,52.34232307,12.99837034
150348,6.21,52.342323765,12.998370815
150349,6.2,52.34232442,12.99837124
150350,6.19,52.342325025,12.99837165
150351,6.18,52.342325675,12.99837215
150352,6.18,52.342326275,12.99837259
150353,6.16,52.342326885,12.99837302
150354,6.15,52.342327525,12.99837349
150355,6.15,52.34232811,12.99837391
150356,6.14,52.342328775,12.998374365
150357,6.13,52.34232944,12.99837479
150358,6.12,52.34233006,12.998375155
150359,6.1,52.34233074,12.998375535
150360,6.09,NA,NA
150401,6.09,52.342332125,12.998376205
150402,6.06,52.34233279,12.998376515
150403,6.06,52.342333435,12.998376775
150404,6.05,52.34233407,12.99837701
150405,6.04,52.342334755,12.99837727
150406,6.03,52.342335385,12.9983775
150407,6.02,52.342336,12.99837772
150408,5.99,52.34233669,12.998378
150409,5.98,52.342337335,12.99837822
150410,5.98,52.342337985,12.998378435
150411,5.97,52.34233863,12.998378675
150412,5.95,52.342339275,12.99837891
150413,5.94,52.342339915,12.998379155
150414,5.92,52.34234058,12.99837938
150415,5.91,52.342341265,12.9983796
150416,5.91,52.34234197,12.998379795
150417,5.89,52.34234274,12.99837989
150418,5.88,52.342343545,12.998379775
150419,5.86,52.342344375,12.99837939
150420,5.85,52.34234525,12.998378725
150421,5.84,52.342346105,12.998377615
150422,5.84,52.342346825,12.998375895
150423,5.85,52.34234747,12.998373745
150424,5.85,52.34234814,12.998371475
150425,5.86,52.342348955,12.998369005
150426,5.86,52.34235006,12.998366205
150427,5.86,52.34235163,12.998363085
150428,5.85,52.342353875,12.998359475
150429,5.84,52.34235666,12.998355165
150430,5.82,52.342359645,12.998349605
150431,5.84,52.34236265,12.998342305
150432,5.87,52.342365385,12.998333155
150433,5.91,52.3423674,12.99832264
150434,5.99,52.3423685,12.99831173
150435,6.07,52.342368575,12.99830053
150436,6.19,52.342367635,12.998289105
150437,6.3,52.34236588,12.99827783
150438,6.38,52.342363525,12.99826652
150439,6.47,52.34236094,12.99825509
150440,6.58,52.34235831,12.998243635
150441,6.66,52.34235568,12.998232215
150442,6.74,52.342352905,12.99822088
150443,6.81,52.342349765,12.99820966
150444,6.88,52.342346285,12.998198615
150445,6.94,52.3423427,12.998187595
150446,7.01,52.34233921,12.9981764
150447,7.06,52.34233575,12.998164985
150448,7.09,52.342332215,12.998153485
150449,7.14,52.3423285,12.998142165
150450,7.24,52.34232451,12.9981311
150451,7.29,52.342320355,12.99812037
150452,7.35,52.342316045,12.99811005
150453,7.4,52.342311715,12.998099665
150454,7.48,52.3423077,12.998088945
150455,7.52,52.34230389,12.998078255
150456,7.56,52.342299935,12.998067785
150457,7.6,52.342295605,12.998057535
150458,7.66,52.342291045,12.99804784
150459,7.67,52.342286505,12.998039
150460,7.74,NA,NA
150501,7.79,52.3422777,12.99802311
150502,7.81,52.342273425,12.998014825
150503,7.85,52.342269165,12.99800575
150504,7.9,52.342264935,12.99799621
150505,7.95,52.342260675,12.99798675
150506,8.02,52.34225647,12.9979775
150507,8.06,52.342252245,12.997968315
150508,8.11,52.34224791,12.9979589
150509,8.14,52.342243655,12.99794909
150510,8.17,52.34223957,12.997938835
150511,8.2,52.342235665,12.997928315
150512,8.26,52.342231885,12.99791774
150513,8.28,52.34222805,12.99790699
150514,8.36,52.34222409,12.997896025
150515,8.43,52.342220065,12.9978851
150516,8.47,52.342216285,12.99787484
150517,8.51,52.342212875,12.99786548
150518,8.54,52.342209345,12.997856575
150519,8.57,52.34220544,12.997847625
150520,8.57,52.34220176,12.997838365
150521,8.61,52.34219881,12.997829115
150522,8.63,52.3421964,12.997820235
150523,8.66,52.34219394,12.997811435
150524,8.65,52.342191175,12.997802585
150525,8.69,52.342188245,12.9977937
150526,8.72,52.34218524,12.99778432
150527,8.75,52.34218249,12.997774505
150528,8.78,52.342180235,12.997764395
150529,8.82,52.342178315,12.99775343
150530,8.85,52.342176815,12.99774204
150531,8.87,52.342175785,12.997730945
150532,8.89,52.342174885,12.997719735
150533,8.91,52.342174095,12.997708415
150534,8.93,52.34217355,12.997697115
150535,8.95,52.3421732,12.997685475
150536,8.97,52.3421731,12.997673705
150537,8.99,52.34217329,12.99766181
150538,9.01,52.34217378,12.997649515
150539,9.02,52.342174575,12.99763712
150540,9.02,52.342175595,12.99762491
150541,9.02,52.34217681,12.99761254
150542,9.04,52.342178205,12.99759989
150543,9.06,52.34217974,12.997587495
150546,9.06,52.3421848,12.99755069
150547,9.07,52.342186675,12.997538115
150548,9.08,52.342188825,12.997525625
150549,9.09,52.342191055,12.997513135
150550,9.11,52.342193225,12.99750046
150551,9.1,52.342195365,12.997487735
150552,9.1,52.34219759,12.99747517
150553,9.1,52.34219984,12.997462695
150554,9.09,52.34220199,12.997450155
150555,9.1,52.342204105,12.997437545
150556,9.1,52.342206275,12.997424785
150557,9.1,52.342208505,12.9974119
150558,9.1,52.34221055,12.997399005
150610,9.06,52.3422314,12.99724361
150614,9.02,52.342239445,12.997192275
150621,8.97,52.342251835,12.99710317
150624,8.91,52.342256465,12.99706545
150628,8.9,52.34226281,12.997014765
150633,8.8,52.342272085,12.996951405
150636,8.78,52.34227943,12.996914325
150638,8.69,52.34228422,12.99689007
150640,8.68,52.342289555,12.996865695
150640,8.7,52.342289555,12.996865695
150642,8.66,52.342295355,12.99684188
150643,8.64,52.342297945,12.996830505
150644,8.63,52.342300385,12.996819295
150645,8.63,52.342302695,12.9968078
150646,8.6,52.342305225,12.996796185
150647,8.58,52.3423081,12.99678477
150648,8.56,52.34231109,12.99677326
150649,8.54,52.34231408,12.99676162
150650,8.51,52.342317025,12.996750015
150651,8.48,52.342319855,12.996738305
150652,8.47,52.34232252,12.99672634
150653,8.45,52.342325325,12.9967143
150654,8.42,52.34232837,12.996702425
150655,8.39,52.34233143,12.99669062
150656,8.37,52.34233449,12.996678605
150657,8.33,52.34233758,12.996666425
150658,8.3,52.342340755,12.996654245
150659,8.27,52.342343945,12.99664198
150660,8.24,NA,NA
150701,8.22,52.342349745,12.996617665
150702,8.2,52.34235233,12.996605515
150703,8.17,52.34235488,12.99659326
150704,8.14,52.34235749,12.996580965
150705,8.1,52.34236013,12.996568765
150706,8.07,52.34236271,12.99655667
150707,8.05,52.342365235,12.996544505
150708,8.02,52.342367845,12.99653229
150709,7.99,52.34237064,12.99652014
150710,7.96,52.342373675,12.99650813
150711,7.92,52.342376765,12.996496115
150712,7.89,52.34237964,12.996484
150713,7.85,52.34238232,12.99647173
150714,7.82,52.34238501,12.996459345
150715,7.79,52.34238789,12.996446945
150716,7.76,52.342390805,12.996434395
150717,7.74,52.34239367,12.99642183
150718,7.71,52.342396415,12.996409495
150719,7.69,52.3423988,12.996397435
150720,7.68,52.342400785,12.996385345
150721,7.65,52.34240272,12.9963731
150722,7.63,52.3424049,12.996360825
150723,7.61,52.34240719,12.99634867
150724,7.56,52.34240953,12.996336685
150725,7.55,52.342411775,12.99632453
150726,7.54,52.34241391,12.99631218
150727,7.52,52.342416065,12.996299865
150727,7.5,52.342416065,12.996299865
150729,7.49,52.342420435,12.99627529
150730,7.48,52.342422785,12.99626295
150731,7.45,52.342425335,12.996250395
150732,7.44,52.342427915,12.996237955
150733,7.42,52.342430445,12.99622572
150734,7.41,52.34243281,12.99621332
150735,7.39,52.34243508,12.996200865
150736,7.38,52.34243745,12.99618847
150737,7.36,52.342439975,12.99617609
150738,7.35,52.34244251,12.996163475
150739,7.33,52.34244502,12.996150815
150740,7.32,52.34244759,12.99613847
150741,7.29,52.342450065,12.996126355
150742,7.28,52.34245221,12.996114155
150743,7.27,52.342454155,12.99610168
