"UTC","Depth..m.","BESTPOSA_Spalte12","BESTPOSA_Spalte13"
150231,6.67,"52.34226846","12.99835861"
150232,6.67,"52.34226896","12.99835892"
150233,6.66,"52.34226952","12.99835919"
150234,6.67,"52.34227004","12.99835943"
150235,6.66,"52.34227059","12.99835966"
150236,6.66,"52.34227111","12.99835990"
150237,6.65,"52.34227166","12.99836009"
150238,6.65,"52.34227222","12.99836026"
150239,6.65,"52.34227276","12.99836042"
150240,6.66,"52.34227331","12.99836053"
150241,6.64,"52.34227384","12.99836063"
150242,6.65,"52.34227443","12.99836075"
150243,6.64,"52.34227497","12.99836083"
150244,6.64,"52.34227553","12.99836093"
150245,6.63,"52.34227608","12.99836102"
150246,6.63,"52.34227663","12.99836108"
150247,6.63,"52.34227719","12.99836117"
150248,6.62,"52.34227776","12.99836121"
150249,6.63,"52.34227834","12.99836130"
150250,6.62,"52.34227895","12.99836134"
150251,6.62,"52.34227953","12.99836138"
150252,6.61,"52.34228014","12.99836140"
150253,6.6,"52.34228080","12.99836150"
150254,6.59,"52.34228144","12.99836152"
150255,6.58,"52.34228219","12.99836169"
150256,6.57,"52.34228284","12.99836163"
150257,6.57,"52.34228366","12.99836177"
0,8.97,NA,NA
0,9.04,NA,NA
0,8.91,NA,NA
0,9.06,NA,NA
0,8.9,NA,NA
0,8.9,NA,NA
0,5.72,NA,NA
0,8.88,NA,NA
0,8.87,NA,NA
0,8.85,NA,NA
0,8.84,NA,NA
0,8.82,NA,NA
0,5.52,NA,NA
0,8.79,NA,NA
0,9.07,NA,NA
0,8.75,NA,NA
0,9.09,NA,NA
0,9.1,NA,NA
0,9.07,NA,NA
0,9.09,NA,NA
0,9.09,NA,NA
0,9.1,NA,NA
0,9.09,NA,NA
0,9.07,NA,NA
0,9.08,NA,NA
0,5.92,NA,NA
0,8.95,NA,NA
0,9.03,NA,NA
0,9.03,NA,NA
0,8.99,NA,NA
0,9.02,NA,NA
0,6.12,NA,NA
0,9.01,NA,NA
0,9.02,NA,NA
0,9.01,NA,NA
0,8.97,NA,NA
0,8.95,NA,NA
0,5.99,NA,NA
0,6.88,NA,NA
0,5.94,NA,NA
0,5.86,NA,NA
0,5.83,NA,NA
0,5.79,NA,NA
0,5.76,NA,NA
0,5.59,NA,NA
0,5.7,NA,NA
0,6.11,NA,NA
0,5.63,NA,NA
0,5.55,NA,NA
0,6.88,NA,NA
0,5.18,NA,NA
0,5.39,NA,NA
0,8.74,NA,NA
0,6.9,NA,NA
0,5.15,NA,NA
0,9.09,NA,NA
0,6.9,NA,NA
0,6.01,NA,NA
0,5.89,NA,NA
0,6.02,NA,NA
150340,6.3,"52.34231855","12.99836801"
150341,6.29,"52.34231932","12.99836832"
150342,6.29,"52.34232002","12.99836860"
150343,6.28,"52.34232070","12.99836894"
150344,6.27,"52.34232145","12.99836933"
150345,6.26,"52.34232212","12.99836975"
150346,6.24,"52.34232275","12.99837013"
150347,6.22,"52.34232339","12.99837055"
150348,6.21,"52.34232414","12.99837108"
150349,6.2,"52.34232470","12.99837140"
150350,6.19,"52.34232535","12.99837190"
150351,6.18,"52.34232600","12.99837240"
150352,6.18,"52.34232655","12.99837278"
150353,6.16,"52.34232722","12.99837326"
150354,6.15,"52.34232783","12.99837372"
150355,6.15,"52.34232839","12.99837410"
150356,6.14,"52.34232916","12.99837463"
150357,6.13,"52.34232972","12.99837495"
150358,6.12,"52.34233040","12.99837536"
150359,6.1,"52.34233108","12.99837571"
150360,6.09,NA,NA
150401,6.09,"52.34233247","12.99837638"
150402,6.06,"52.34233311","12.99837665"
150403,6.06,"52.34233376","12.99837690"
150404,6.05,"52.34233438","12.99837712"
150405,6.04,"52.34233513","12.99837742"
150406,6.03,"52.34233564","12.99837758"
150407,6.02,"52.34233636","12.99837786"
150408,5.99,"52.34233702","12.99837814"
150409,5.98,"52.34233765","12.99837830"
150410,5.98,"52.34233832","12.99837857"
150411,5.97,"52.34233894","12.99837878"
150412,5.95,"52.34233961","12.99837904"
150413,5.94,"52.34234022","12.99837927"
150414,5.92,"52.34234094","12.99837949"
150415,5.91,"52.34234159","12.99837971"
150416,5.91,"52.34234235","12.99837988"
150417,5.89,"52.34234313","12.99837990"
150418,5.88,"52.34234396","12.99837965"
150419,5.86,"52.34234479","12.99837913"
150420,5.85,"52.34234571","12.99837832"
150421,5.84,"52.34234650","12.99837691"
150422,5.84,"52.34234715","12.99837488"
150423,5.85,"52.34234779","12.99837261"
150424,5.85,"52.34234849","12.99837034"
150425,5.86,"52.34234942","12.99836767"
150426,5.86,"52.34235070","12.99836474"
150427,5.86,"52.34235256","12.99836143"
150428,5.85,"52.34235519","12.99835752"
