X,Y,Depth (m)
363643.69759080966,5800993.35817298,6.67
363643.7202450753,5800993.413194823,6.67
363643.74035935657,5800993.4749647835,6.66
363643.758307097,5800993.532342797,6.67
363643.7756659973,5800993.593076021,6.66
363643.793613737,5800993.650454035,6.66
363643.80824802734,5800993.711262647,6.65
363643.8215507838,5800993.773221072,6.65
363643.8341108459,5800993.832974101,6.65
363643.8432959174,5800993.893933485,6.66
363643.8517382948,5800993.952687471,6.64
363643.8617276015,5800994.018076495,6.65
363643.86883844493,5800994.077980297,6.64
363643.8773731344,5800994.140070648,6.64
363643.8851959007,5800994.201067725,6.63
363643.8909752101,5800994.262121341,6.63
363643.89882874687,5800994.32423054,6.63
363643.90330729337,5800994.387546091,6.62
363643.91122237145,5800994.451879533,6.63
363643.9158240014,5800994.519643573,6.62
363643.9203333185,5800994.584071248,6.62
363643.9235726438,5800994.6518729795,6.61
363643.9324150403,5800994.725084549,6.60
363643.93574667803,5800994.796222649,6.59
363643.9496340768,5800994.8793113865,6.58
363643.94754726824,5800994.951712378,6.57
363643.95960660593,5800995.04264251,6.57
363644.46947767993,5800998.83601616,6.30
363644.4920046382,5800998.911075045,6.29
363644.5154896841,5800998.996124179,6.29
363644.53671587934,5800999.073445001,6.28
363644.5619674419,5800999.1484285,6.27
363644.5908401563,5800999.231102619,6.26
363644.6215101587,5800999.304823226,6.24
363644.6493324714,5800999.374170732,6.22
363644.67991015996,5800999.444554973,6.21
363644.7183189918,5800999.526965244,6.20
363644.7418389983,5800999.588640976,6.19
363644.7778966668,5800999.659986568,6.18
363644.81395433424,5800999.7313321605,6.18
363644.8415304768,5800999.791782693,6.16
363644.876287381,5800999.865390223,6.15
363644.90949735744,5800999.932362715,6.15
363644.93710426847,5800999.993925369,6.14
363644.9755746337,5801000.078559886,6.13
363644.9990946349,5801000.14023562,6.12
363645.02911424544,5801000.215087196,6.10
363645.0550469471,5801000.290051851,6.09
363645.0789977352,5801000.36729729,6.09
363645.10496120615,5801000.443374068,6.06
363645.1253216127,5801000.5140410075,6.06
363645.14435048646,5801000.585857762,6.05
363645.1612435938,5801000.654394689,6.04
363645.18398592935,5801000.73723843,6.03
363645.1964536514,5801000.7936550975,6.02
363645.2177413716,5801000.873200165,5.99
363645.23884446744,5801000.946072502,5.98
363645.25168143574,5801001.01583463,5.98
363645.27213415003,5801001.089837936,5.97
363645.28834610304,5801001.158393711,5.95
363645.3081176651,5801001.232415863,5.94
363645.3256611494,5801001.299821824,5.92
363645.34286195843,5801001.37947997,5.91
363645.359847373,5801001.451353263,5.91
363645.3737655074,5801001.53555413,5.89
363645.37752791494,5801001.622261933,5.88
363645.36305309355,5801001.7150391955,5.86
363645.3301871915,5801001.80832531,5.85
363645.277844843,5801001.912167064,5.84
363645.1842334105,5801002.002682019,5.84
363645.047959823,5801002.078795744,5.85
363644.8953078422,5801002.154249666,5.85
363644.74284048995,5801002.236376324,5.86
363644.56383482716,5801002.344835645,5.86
363644.3681962223,5801002.49270924,5.86
363644.1484585996,5801002.705802072,5.85
363643.890221297,5801003.005659082,5.84
363643.5784458506,5801003.341499605,5.82
363643.1511517333,5801003.690553174,5.84
363642.6024589674,5801004.0374008855,5.87
363641.921477524,5801004.333373283,5.91
363641.1823996488,5801004.525220809,5.99
363640.4419762166,5801004.619164041,6.07
363639.6570834494,5801004.584119968,6.19
363638.8797615295,5801004.453150844,6.30
363638.1102873627,5801004.236265758,6.38
363637.3245045908,5801003.971974201,6.47
363636.53726711066,5801003.704384095,6.58
363635.747801451,5801003.430177929,6.66
363634.9653318469,5801003.16245614,6.74
363634.1865531517,5801002.855678278,6.81
363633.41750338837,5801002.506338345,6.88
363632.6604721808,5801002.123276764,6.94
363631.89418169856,5801001.750488269,7.01
363631.113894659,5801001.389216922,7.06
363630.3178179258,5801001.023930725,7.09
363629.5254894637,5801000.646298223,7.14
363628.7528260614,5801000.240297346,7.24
363627.99354347546,5800999.800537114,7.29
363627.26550139894,5800999.356573586,7.35
363626.5611189533,5800998.880792194,7.40
363625.82409853756,5800998.432625424,7.48
363625.0760174843,5800998.028170793,7.52
363624.3443454995,5800997.625488136,7.56
363623.6253423912,5800997.187952825,7.60
363622.9213326732,5800996.701031878,7.66
363622.27652148705,5800996.210246878,7.67
363621.6891116003,5800995.724551324,7.74
